fold,auprc,auroc,test_pos,test_total
2,0.6218613739201975,0.6066666666666667,15,30
3,0.7571234147502186,0.7391304347826086,16,39
4,0.91280172198767,0.8585055643879173,51,88
mean,0.7639288368860288,0.7347675552790642,82,157
