chip_id,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2A_MSIL2A_20220611T062641_R077_T40QGL_20220612T043050_0000,0.954468309879303,0.2191658467054367,0.4521952271461487
S2A_MSIL2A_20220611T062641_R077_T40QGL_20220612T043050_0001,0.9104901552200317,0.2812556326389313,0.4120196998119354
S2A_MSIL2A_20220621T062641_R077_T40QGL_20220622T012510_0000,0.962350606918335,0.26487159729003906,0.4244646430015564
S2A_MSIL2A_20220621T062641_R077_T40QGL_20220622T012510_0001,0.910801351070404,0.26737546920776367,0.4238518476486206
S2B_MSIL2A_20220606T062629_R077_T40QGL_20240718T023037_0000,0.9633634686470032,0.22025719285011292,0.43324798345565796
S2B_MSIL2A_20220606T062629_R077_T40QGL_20240718T023037_0001,0.9056094884872437,0.27256348729133606,0.4561602473258972
