phase,epoch,val_loss
phase,epoch,val_loss
head,1,0.230673
head,2,0.259929
head,3,0.253487
head,4,0.188318
head,5,0.159046
head,6,0.161378
head,7,0.211242
head,8,0.154129
phase,epoch,val_loss
rpn+head,1,0.273514
rpn+head,2,0.205909
rpn+head,3,0.188240
rpn+head,4,0.186680
rpn+head,5,0.177390
rpn+head,6,0.174185
rpn+head,7,0.160961
rpn+head,8,0.185184
