fold,auprc,auroc,test_pos,test_total
1,0.29439401178531616,0.8675675675675676,10,158
2,0.2,0.9483870967741936,2,157
3,0.6,0.948051948051948,4,158
mean,0.3647980039284387,0.9213355374645698,16,473
