scene_id,datetime,hab_prob_mean,hab_prob_max,hab_prob_p90
S2A_MSIL2A_20240220T065921_R063_T39QXG_20240220T112915,2024-02-20 06:59:21.024000+00:00,0.3649990549284985,0.3649990549284985,0.3649990549284985
S2A_MSIL2A_20240301T065821_R063_T39QXG_20240301T115335,2024-03-01 06:58:21.024000+00:00,0.3846398782183757,0.3846398782183757,0.3846398782183757
S2A_MSIL2A_20240311T065701_R063_T39QXG_20240311T150535,2024-03-11 06:57:01.024000+00:00,0.5326585428966697,0.5326585428966697,0.5326585428966697
S2A_MSIL2A_20240321T065621_R063_T39QXG_20240321T122014,2024-03-21 06:56:21.024000+00:00,0.3818090747265585,0.3818090747265585,0.3818090747265585
S2A_MSIL2A_20240619T065631_R063_T39QXG_20240619T131334,2024-06-19 06:56:31.024000+00:00,0.6806652486044539,0.6806652486044539,0.6806652486044539
S2A_MSIL2A_20240719T065621_R063_T39QXG_20240719T132007,2024-07-19 06:56:21.024000+00:00,0.520578081210115,0.520578081210115,0.520578081210115
S2A_MSIL2A_20240907T065621_R063_T39QXG_20240907T115459,2024-09-07 06:56:21.024000+00:00,0.4079657669884158,0.4079657669884158,0.4079657669884158
S2A_MSIL2A_20240927T065641_R063_T39QXG_20240927T112652,2024-09-27 06:56:41.024000+00:00,0.6099070267090145,0.6099070267090145,0.6099070267090145
S2A_MSIL2A_20241226T070311_R063_T39QXG_20241226T100152,2024-12-26 07:03:11.024000+00:00,0.6235004403151828,0.6235004403151828,0.6235004403151828
S2A_MSIL2A_20250105T070301_R063_T39QXG_20250105T101308,2025-01-05 07:03:01.024000+00:00,0.5987831780220694,0.5987831780220694,0.5987831780220694
S2A_MSIL2A_20250115T070231_R063_T39QXG_20250115T101359,2025-01-15 07:02:31.024000+00:00,0.6194795963495774,0.6194795963495774,0.6194795963495774
S2B_MSIL2A_20220215T065949_R063_T39QXG_20220223T132730,2022-02-15 06:59:49.024000+00:00,0.2922310311138708,0.2922310311138708,0.2922310311138708
S2B_MSIL2A_20220307T065729_R063_T39QXG_20220307T200029,2022-03-07 06:57:29.024000+00:00,0.4695669581099767,0.4695669581099767,0.4695669581099767
S2B_MSIL2A_20220307T065729_R063_T39QXG_20240524T222725,2022-03-07 06:57:29.024000+00:00,0.4653406662138483,0.4653406662138483,0.4653406662138483
S2B_MSIL2A_20220317T065619_R063_T39QXG_20220317T172218,2022-03-17 06:56:19.024000+00:00,0.3943887533230442,0.3943887533230442,0.3943887533230442
S2B_MSIL2A_20220317T065619_R063_T39QXG_20240523T103231,2022-03-17 06:56:19.024000+00:00,0.3903411662569968,0.3903411662569968,0.3903411662569968
S2B_MSIL2A_20220327T065619_R063_T39QXG_20220327T201724,2022-03-27 06:56:19.024000+00:00,0.4495574894054145,0.4495574894054145,0.4495574894054145
S2B_MSIL2A_20220814T065629_R063_T39QXG_20220814T151723,2022-08-14 06:56:29.024000+00:00,0.6790915623908118,0.6790915623908118,0.6790915623908118
S2B_MSIL2A_20220814T065629_R063_T39QXG_20240704T011425,2022-08-14 06:56:29.024000+00:00,0.661726223814163,0.661726223814163,0.661726223814163
S2B_MSIL2A_20220824T065619_R063_T39QXG_20220825T015302,2022-08-24 06:56:19.024000+00:00,0.3666828854006074,0.3666828854006074,0.3666828854006074
S2B_MSIL2A_20220903T065629_R063_T39QXG_20220903T175254,2022-09-03 06:56:29.024000+00:00,0.4113386849400934,0.4113386849400934,0.4113386849400934
S2B_MSIL2A_20220913T065629_R063_T39QXG_20220913T171218,2022-09-13 06:56:29.024000+00:00,0.3435027709396389,0.3435027709396389,0.3435027709396389
S2B_MSIL2A_20220913T065629_R063_T39QXG_20240726T171436,2022-09-13 06:56:29.024000+00:00,0.3435027709396389,0.3435027709396389,0.3435027709396389
S2B_MSIL2A_20220923T065629_R063_T39QXG_20220924T000152,2022-09-23 06:56:29.024000+00:00,0.6716720000652201,0.6716720000652201,0.6716720000652201
S2B_MSIL2A_20220923T065629_R063_T39QXG_20240725T151945,2022-09-23 06:56:29.024000+00:00,0.6754116984799557,0.6754116984799557,0.6754116984799557
S2B_MSIL2A_20230131T070119_R063_T39QXG_20230131T235314,2023-01-31 07:01:19.024000+00:00,0.5758273086624288,0.5758273086624288,0.5758273086624288
S2B_MSIL2A_20230210T070029_R063_T39QXG_20230210T205643,2023-02-10 07:00:29.024000+00:00,0.6001874344086428,0.6001874344086428,0.6001874344086428
S2B_MSIL2A_20230210T070029_R063_T39QXG_20240813T093046,2023-02-10 07:00:29.024000+00:00,0.5700197008711254,0.5700197008711254,0.5700197008711254
S2B_MSIL2A_20230312T065709_R063_T39QXG_20230312T141426,2023-03-12 06:57:09.025000+00:00,0.6191192938905844,0.6191192938905844,0.6191192938905844
S2B_MSIL2A_20230312T065709_R063_T39QXG_20240818T170744,2023-03-12 06:57:09.025000+00:00,0.6144448123163144,0.6144448123163144,0.6144448123163144
S2B_MSIL2A_20230322T065629_R063_T39QXG_20230322T124101,2023-03-22 06:56:29.024000+00:00,0.5531415395374577,0.5531415395374577,0.5531415395374577
S2B_MSIL2A_20230322T065629_R063_T39QXG_20240827T110952,2023-03-22 06:56:29.024000+00:00,0.5587931873074385,0.5587931873074385,0.5587931873074385
S2B_MSIL2A_20230829T065629_R063_T39QXG_20230829T131134,2023-08-29 06:56:29.024000+00:00,0.4049772278954623,0.4049772278954623,0.4049772278954623
S2B_MSIL2A_20230829T065629_R063_T39QXG_20241017T113451,2023-08-29 06:56:29.024000+00:00,0.4049772278954623,0.4049772278954623,0.4049772278954623
S2B_MSIL2A_20230908T065629_R063_T39QXG_20230908T143733,2023-09-08 06:56:29.024000+00:00,0.6426769389292453,0.6426769389292453,0.6426769389292453
S2B_MSIL2A_20230908T065629_R063_T39QXG_20241023T151834,2023-09-08 06:56:29.024000+00:00,0.6300343065964238,0.6300343065964238,0.6300343065964238
S2B_MSIL2A_20230918T065629_R063_T39QXG_20230918T153259,2023-09-18 06:56:29.024000+00:00,0.4422867801479578,0.4422867801479578,0.4422867801479578
S2B_MSIL2A_20230918T065629_R063_T39QXG_20241025T081232,2023-09-18 06:56:29.024000+00:00,0.4219802827525314,0.4219802827525314,0.4219802827525314
S2B_MSIL2A_20230928T065649_R063_T39QXG_20230928T122354,2023-09-28 06:56:49.024000+00:00,0.5866269521028887,0.5866269521028887,0.5866269521028887
S2B_MSIL2A_20230928T065649_R063_T39QXG_20241102T043937,2023-09-28 06:56:49.024000+00:00,0.5921673456119091,0.5921673456119091,0.5921673456119091
S2B_MSIL2A_20231227T070309_R063_T39QXG_20231227T102112,2023-12-27 07:03:09.024000+00:00,0.423097201940236,0.423097201940236,0.423097201940236
S2B_MSIL2A_20240106T070259_R063_T39QXG_20240106T101530,2024-01-06 07:02:59.024000+00:00,0.4027503400161485,0.4027503400161485,0.4027503400161485
S2B_MSIL2A_20240215T065959_R063_T39QXG_20240215T111952,2024-02-15 06:59:59.024000+00:00,0.4818699212809977,0.4818699212809977,0.4818699212809977
S2B_MSIL2A_20240306T065739_R063_T39QXG_20240306T111016,2024-03-06 06:57:39.024000+00:00,0.5479310244867445,0.5479310244867445,0.5479310244867445
