fold,auprc,auroc,test_pos,test_total
2,0.8333333333333333,0.75,2,4
3,1.0,1.0,2,5
4,0.9166666666666666,0.9166666666666666,3,5
5,0.6111111111111112,0.5,2,9
6,0.7287693190857745,0.7091655266757867,86,171
mean,0.817976086039377,0.7751664386684907,95,194
