chip_id,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2A_MSIL2A_20240908T062631_R077_T40QGL_20240908T111753_0000,0.9694126844406128,0.2953580319881439,0.4398713707923889
S2A_MSIL2A_20240908T062631_R077_T40QGL_20240908T111753_0001,0.9261208176612854,0.20541004836559296,0.4579913020133972
S2A_MSIL2A_20240928T062641_R077_T40QGL_20240928T091150_0000,0.9616261124610901,0.2556360960006714,0.3436685800552368
S2A_MSIL2A_20240928T062641_R077_T40QGL_20240928T091150_0001,0.9095491170883179,0.2182771861553192,0.4195196032524109
