fold,auprc,auroc,test_pos,test_total
2,0.6722799030835106,0.6888888888888889,15,30
3,0.8470319344807491,0.8179347826086957,16,39
4,0.9017810564198974,0.8447270800211976,51,88
mean,0.8070309646613857,0.7838502505062607,82,157
