feature,mean_abs_shap
chl_times_nflh,0.15943947607502162
log_nflh,0.10910704088649338
p_frcnn_mb_med,0.05169854844556321
nflh,0.04621911902901627
kd490,0.045564446605593195
log_kd490,0.04169965372618027
sst_anom,0.03800489786001062
ratio_chl_kd,0.03482310847292025
month_sin,0.029922347843712668
log_chlor_a,0.029003641180196462
p_ssd_mb_med,0.02870171534730997
sst_clim_rm,0.02865571320285214
sst_anom_x_kd490,0.02842320268581221
ndwi_mean,0.027507967539907415
ratio_nflh_kd,0.027102847341146805
sst_anom_z,0.02587012566301711
p_tab,0.021183615511058535
sst_anom_x_fai_mean,0.02102986442237659
sst_anom_x_chlor_a,0.02066125449964726
chlor_a,0.019641952676952987
ndwi_std,0.016212464214562537
sst,0.01415395428939205
fai_mean,0.013840851746989928
rednir_mean,0.012183688002318381
sst_anom_x_nflh,0.008945538717205605
sst_anom_x_month_sin,0.0077345525144103975
month_cos,0.007122034704873903
month_num,0.0
p_frcnn_r50_med,0.0
rednir_std,0.0
sst_anom_x_month_cos,0.0
