fold,auprc,auroc,test_pos,test_total
1,0.4975369458128079,0.9271523178807948,6,157
2,0.292063492063492,0.8991228070175439,6,158
3,0.1607142857142857,0.8116883116883117,4,158
mean,0.3167715745301952,0.8793211455288835,16,473
