setting,mean_auprc,mean_auroc,delta_auprc,delta_auroc
FULL,0.9237740685615179,0.9128711201079622,,
DROP_p_frcnn_mb_med,0.83763179232811,0.7472165991902835,-0.08614227623340787,-0.16565452091767874
