feature,mean_abs_shap
chl_times_nflh,0.29242078169967256
nflh,0.21586754618522874
log_nflh,0.2081280040645194
chlor_a,0.12975461862182014
sst_anom_x_chlor_a,0.12591593783543634
log_chlor_a,0.12544260652284697
p_frcnn_mb_med,0.1175272262472404
rednir_std,0.10282127576144016
sst_anom_x_kd490,0.09313732514585057
sst_anom_z,0.09243482667455998
kd490,0.08819664155766671
p_frcnn_r50_med,0.08654286625190476
ratio_chl_kd,0.07997861500541732
sst_anom,0.07950892254115023
ratio_nflh_kd,0.07777592714275779
p_ssd_mb_med,0.07730405330195161
p_tab,0.06318859730572171
sst_anom_x_month_sin,0.06249189350363403
sst_anom_x_month_cos,0.058637303357384436
sst_clim_rm,0.05814508896259268
sst_anom_x_fai_mean,0.056978980956874675
log_kd490,0.05087934419830742
month_sin,0.05026549605942391
ndwi_std,0.03999747518499597
sst_anom_x_nflh,0.035632913361770144
sst,0.035019171720917494
fai_mean,0.03352567407276378
month_num,0.02904279390174463
ndwi_mean,0.024855641182531866
rednir_mean,0.02284989359155386
month_cos,0.01658294301679947
