epoch,val_loss
1,0.215013
epoch,val_loss
1,0.494192
2,0.166341
3,0.150773
4,0.230515
5,0.138527
6,0.155751
7,0.138125
8,0.183323
9,0.146968
10,0.186528
11,0.145615
12,0.142609
13,0.144231
14,0.136967
15,0.143613
16,0.138816
17,0.139833
18,0.130365
19,0.139921
20,0.131467
