fold,auprc,auroc,test_pos,test_total
2,0.4359638519314064,0.5896263910969793,37,105
3,0.5552973140105772,0.6098039215686274,34,94
4,0.5917510079257111,0.47478991596638653,68,124
5,0.6122888357828316,0.6196524064171123,34,78
mean,0.5488252524126316,0.5734681587622764,173,401
