model,acc,prec,rec,f1,auroc
FRCNN_MB,0.4752,0.4906,0.5,0.4952,0.4802
FRCNN_R50,0.5248,0.537,0.5577,0.5472,0.5324
FRCNN_SSD,0.505,0.5192,0.5192,0.5192,0.5249
