model,acc,prec,rec,f1,auroc
FRCNN_R50,0.5248,0.537,0.5577,0.5472,0.5324
FUSION,0.5259,0.5517,0.5246,0.5378,0.5395
FRCNN_SSD,0.505,0.5192,0.5192,0.5192,0.5249
FRCNN_MB,0.4752,0.4906,0.5,0.4952,0.4802
FUSION_CV,,,,,0.5395
