fold,auprc,auroc,test_pos,test_total
1,0.9166666666666665,0.9948717948717949,6,136
2,0.8333333333333333,0.9922480620155039,4,133
3,0.9166666666666665,0.9947916666666666,6,134
mean,0.8888888888888887,0.9939705078513218,16,403
