setting,mean_auprc,mean_auroc,delta_auprc,delta_auroc
FULL,0.8376756104236839,0.7987360543683218,,
DROP_month_sin,0.8550471762721896,0.8387806411062225,0.017371565848505743,0.04004458673790068
