feature,mean_abs_shap
kd490,0.11030463613438989
log_nflh,0.08963256281716943
log_chlor_a,0.05698837017310844
log_kd490,0.046722161912430955
chlor_a,0.04494301023086969
ratio_chl_kd,0.04393003751874777
nflh,0.04114210592095009
chl_times_nflh,0.039622796204296276
sst_anom,0.025584631427166937
sst_anom_x_kd490,0.018974657699271917
rednir_mean,0.01512930849432071
month_sin,0.011634482334312489
p_frcnn_mb_med,0.01116077500105329
sst,0.010472550472612608
sst_clim_rm,0.009988234133412289
sst_anom_x_chlor_a,0.008361542609737052
p_tab,0.00654103651260691
p_ssd_mb_med,0.004955739074770415
sst_anom_x_month_sin,0.0043614144966614065
ratio_nflh_kd,0.0036961495422456496
fai_mean,0.003403366422186555
ndwi_std,0.0032422509720535964
sst_anom_z,0.00290728976730631
sst_anom_x_nflh,0.0028817990057187293
p_frcnn_r50_med,0.002048685200513499
rednir_std,0.001554095730323523
month_cos,0.00033560183306214134
month_num,0.0
sst_anom_x_fai_mean,0.0
ndwi_mean,0.0
sst_anom_x_month_cos,0.0
