feature,importance
nflh,1.0483703117423357
p_frcnn_r50_med,0.8425601827417067
chlor_a,0.6595932682512906
ratio_chl_kd,0.5845007071408336
rednir_mean,0.5816304369961107
chl_times_nflh,0.5754290678741616
ratio_nflh_kd,0.4762900698729958
month_sin,0.46799804360657987
p_frcnn_mb_med,0.4561666804844864
month_cos,0.43610501010528235
log_nflh,0.36163783440804836
rednir_std,0.29941639238909784
p_tab,0.2791402461834749
log_chlor_a,0.2672361303831485
kd490,0.20632981228898375
log_kd490,0.16066319869006263
ndwi_std,0.13903185687358932
fai_mean,0.13530601764551994
ndwi_mean,0.11397606362376633
p_ssd_mb_med,0.09984828364428378
