fold,auprc,auroc,test_pos,test_total
2,0.6195920327887874,0.5688888888888889,15,30
3,0.8438437430624931,0.8940217391304348,16,39
4,0.9284277939788765,0.8733439321674616,51,88
mean,0.7972878566100524,0.7787515200622618,82,157
