feature,mean_abs_shap
nflh,0.29235591435490177
log_nflh,0.17205713989626584
sst_anom_x_kd490,0.06073861950710222
log_chlor_a,0.046062619795108804
sst_anom_x_chlor_a,0.03898976523045856
sst_anom,0.03749905204594788
p_ssd_mb_med,0.03747196273652542
sst_anom_x_fai_mean,0.0348869699589555
log_kd490,0.03393825180401459
sst,0.02963291641603236
ratio_chl_kd,0.029584056480470876
p_frcnn_mb_med,0.02556514368739397
kd490,0.02248476864044988
chl_times_nflh,0.021591260218709427
ratio_nflh_kd,0.019612176824718545
ndwi_mean,0.019395989587599916
month_sin,0.01876610298684476
rednir_mean,0.01864217580030072
chlor_a,0.017290022728393396
sst_anom_x_month_cos,0.01674881382729915
fai_mean,0.012915162961213165
sst_anom_x_nflh,0.012063111462946804
sst_anom_z,0.011349678664722036
p_frcnn_r50_med,0.010915980814994375
sst_anom_x_month_sin,0.010603738547915202
ndwi_std,0.009637740243376847
month_cos,0.007415350086184145
p_tab,0.005308825630470452
month_num,0.004576469981840647
sst_clim_rm,0.0
rednir_std,0.0
