chip_id,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2A_MSIL2A_20241207T063241_R077_T40QGL_20241207T092856_0000,0.9705681800842285,0.302493691444397,0.3677178919315338
S2A_MSIL2A_20241207T063241_R077_T40QGL_20241207T092856_0001,0.9428355693817139,0.24903504550457,0.3663293123245239
S2A_MSIL2A_20241227T063301_R077_T40QGL_20241227T094051_0000,0.9652535319328308,0.26297709345817566,0.42839938402175903
S2A_MSIL2A_20241227T063301_R077_T40QGL_20241227T094051_0001,0.9372614622116089,0.27213791012763977,0.38356372714042664
S2B_MSIL2A_20241212T063159_R077_T40QGL_20241212T090100_0000,0.9592515826225281,0.30582883954048157,0.41274991631507874
S2B_MSIL2A_20241212T063159_R077_T40QGL_20241212T090100_0001,0.9381197690963745,0.3194979727268219,0.4009741544723511
