chip_id,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2A_MSIL2A_20201009T062801_R077_T40QGL_20201011T131957_0000,0.971050500869751,0.21666741371154785,0.43161508440971375
S2A_MSIL2A_20201009T062801_R077_T40QGL_20201011T131957_0001,0.8969199657440186,0.27497145533561707,0.43467891216278076
S2B_MSIL2A_20201004T062719_R077_T40QGL_20201006T041206_0000,0.9698584079742432,0.21683917939662933,0.430053174495697
S2B_MSIL2A_20201004T062719_R077_T40QGL_20201006T041206_0001,0.9275201559066772,0.2274252027273178,0.3900326192378998
