fold,auprc,auroc,test_pos,test_total
2,0.41666666666666663,0.25,2,4
3,0.8333333333333333,0.8333333333333334,2,5
4,0.5670930642249321,0.6391162029459901,91,185
mean,0.6056976880749774,0.5741498454264412,95,194
