tile,scene_id,datetime,ndwi_mean,ndwi_std,fai_mean,fai_std,rednir_mean,rednir_std,valid_px,chlor_a,kd490,flh,season_dir
S2B_MSIL2A_20180927T070639_R106_T39QXG_20201009T053401_0000.jpg,S2B_MSIL2A_20180927T070639_R106_T39QXG_20201009T053401,2018-09-27 07:06:39.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0000.jpg,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,2018-09-24 06:56:19.024000+00:00,-0.1448828876018524,2.9802322387695312e-08,0.0395934581756591,0.0,0.9157702922821044,1.1920928955078125e-07,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0000.jpg,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,2018-09-19 06:56:21.024000+00:00,-0.163395419716835,0.0,0.0470229387283325,0.0,0.9113800525665284,1.1920928955078125e-07,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180917T070609_R106_T39QXG_20201009T020645_0000.jpg,S2B_MSIL2A_20180917T070609_R106_T39QXG_20201009T020645,2018-09-17 07:06:09.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434_0000.jpg,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434,2018-09-14 06:56:19.024000+00:00,-0.1677370965480804,2.9802322387695312e-08,0.0424590334296226,7.450580596923828e-09,0.8981236815452576,0.0,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180912T070621_R106_T39QXG_20201009T001843_0000.jpg,S2A_MSIL2A_20180912T070621_R106_T39QXG_20201009T001843,2018-09-12 07:06:21.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0000.jpg,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028,2018-09-09 06:56:21.024000+00:00,-0.1705683767795562,2.9802322387695312e-08,0.0420393347740173,0.0,0.8946921825408936,1.788139343261719e-07,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180907T070609_R106_T39QXG_20201011T094726_0000.jpg,S2B_MSIL2A_20180907T070609_R106_T39QXG_20201011T094726,2018-09-07 07:06:09.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180904T065619_R063_T39QXG_20201011T083613_0000.jpg,S2B_MSIL2A_20180904T065619_R063_T39QXG_20201011T083613,2018-09-04 06:56:19.024000+00:00,-0.1637744754552841,0.0,0.0411606803536415,7.450580596923828e-09,0.8995077610015869,1.788139343261719e-07,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180902T070621_R106_T39QXG_20201011T072937_0000.jpg,S2A_MSIL2A_20180902T070621_R106_T39QXG_20201011T072937,2018-09-02 07:06:21.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
