plant_id,name,lat,lon,country,capacity_m3_day,osm_type,osm_id,operator,tags_json,name_local
osm:way/449632054,Sur Desalination Plant,22.6220753,59.4529725,OM,,way,449632054,,"{""@id"": ""way/449632054"", ""building"": ""industrial"", ""name"": ""Sur Desalination Plant"", ""@geometry"": ""center""}",Sur Desalination Plant
osm:way/386838289,Ghubrah Power & Desalination Plant,23.6018997,58.4137212,OM,,way,386838289,Al Ghubrah Power and Desalination Company SAOC,"{""@id"": ""way/386838289"", ""landuse"": ""industrial"", ""name"": ""محطة تحلية المياة والطاقة بالغبرة"", ""name:en"": ""Ghubrah Power & Desalination Plant"", ""name:fa"": ""نیروگاه و نمک‌زدایی آب غبره"", ""operator"": ""Al Ghubrah Power and Desalination Company SAOC"", ""plant:output:electricity"": ""190 MW"", ""plant:source"": ""gas"", ""power"": ""plant"", ""@geometry"": ""center""}",Ghubrah Power & Desalination Plant
osm:way/1079022886,Water Desalination Plant (Musandam),25.6716585,56.2667608,OM,,way,1079022886,,"{""@id"": ""way/1079022886"", ""building"": ""yes"", ""name"": ""محطة تحلية المياه"", ""@geometry"": ""center""}",محطة تحلية المياه
osm:way/1236881046,Sharqiyah Desalination Solar Farm,21.9310725,59.6321193,OM,,way,1236881046,Total Energies,"{""@id"": ""way/1236881046"", ""name"": ""Sharqiyah Desalination solar farm"", ""operator"": ""Total Energies"", ""plant:method"": ""photovoltaic"", ""plant:output:electricity"": ""17 MW"", ""plant:source"": ""solar"", ""power"": ""plant"", ""@geometry"": ""center""}",Sharqiyah Desalination solar farm
