chip_id,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2B_MSIL2A_20250213T063909_R120_T40QFM_20250213T085252_0000,0.9423370361328125,0.20598192512989044,0.435160756111145
S2B_MSIL2A_20250213T063909_R120_T40QFM_20250213T085252_0001,0.896402895450592,0.15991556644439697,0.4305492341518402
S2B_MSIL2A_20250223T063759_R120_T40QFM_20250223T090201_0000,0.9270318150520325,0.2051023542881012,0.424897700548172
S2B_MSIL2A_20250223T063759_R120_T40QFM_20250223T090201_0001,0.904732346534729,0.18874558806419373,0.3588407337665558
S2C_MSIL2A_20250208T064101_R120_T40QFM_20250208T103712_0000,0.9331792593002319,0.20409010350704193,0.4277477562427521
S2C_MSIL2A_20250208T064101_R120_T40QFM_20250208T103712_0001,0.9311983585357666,0.19951532781124115,0.40595293045043945
