feature,importance
log_chlor_a,10.928362543829369
nflh,10.30331103267283
log_nflh,10.221926029170016
kd490,9.205075198490405
sst_anom,8.945696035249622
ratio_chl_kd,6.1443538663626285
ratio_nflh_kd,5.12797414951787
p_ssd_mb_med,4.0090872974942755
ndwi_std,3.9863395778150936
p_tab,3.690047876706555
log_kd490,3.653677057877191
rednir_std,3.4274690376607957
sst,3.127186397819601
sst_anom_x_chlor_a,3.0382556431325263
chlor_a,2.1901823118374435
chl_times_nflh,2.0432306571816117
sst_anom_x_nflh,1.6156205306375229
sst_clim_rm,1.5979607955950426
p_frcnn_r50_med,1.5423304301605014
fai_mean,1.4277564475411946
rednir_mean,0.9674663803573341
month_sin,0.6417285579600659
p_frcnn_mb_med,0.6347956908577733
sst_anom_z,0.5579962892237581
sst_anom_x_month_sin,0.5027632801747018
sst_anom_x_kd490,0.46830320762581396
month_cos,0.0011036770484638486
month_num,0.0
sst_anom_x_fai_mean,0.0
ndwi_mean,0.0
sst_anom_x_month_cos,0.0
