chip_id,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2B_MSIL2A_20250703T063629_R120_T40QFM_20250703T085417_0000,0.9196215867996216,0.20007413625717163,0.41763103008270264
S2B_MSIL2A_20250703T063629_R120_T40QFM_20250703T085417_0001,0.8729830980300903,0.1928749531507492,0.4501308500766754
S2C_MSIL2A_20250728T063651_R120_T40QFM_20250728T111412_0000,0.9649354219436646,0.39483246207237244,0.46573227643966675
S2C_MSIL2A_20250728T063651_R120_T40QFM_20250728T111412_0001,0.898830235004425,0.19506601989269257,0.45865458250045776
