fold,auprc,auroc,test_pos,test_total
1,0.7699434037928283,0.8859680928208847,98,492
2,0.7840544786828407,0.8985609765956587,143,489
3,0.7769615610521473,0.8643478260869565,150,495
4,0.8052308749252063,0.8973274410774411,132,492
5,0.6591083400548587,0.8617983422516,135,488
mean,0.7590597317015763,0.8816005357665082,658,2456
