chip_id,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2A_MSIL2A_20250717T063331_R077_T40QGK_20250717T091809_0000,0.9221852421760559,0.10894297063350677,0.4457511305809021
S2A_MSIL2A_20250717T063331_R077_T40QGK_20250717T091809_0001,0.947271466255188,0.105516217648983,0.46141260862350464
S2B_MSIL2A_20250710T062629_R077_T40QGK_20250710T085914_0000,0.8712494969367981,0.0,0.4539051651954651
S2B_MSIL2A_20250710T062629_R077_T40QGK_20250710T085914_0001,0.8994821310043335,0.0721718892455101,0.3975476622581482
S2B_MSIL2A_20250730T062629_R077_T40QGK_20250730T083814_0000,0.9471303224563599,0.06655944138765335,0.42240992188453674
S2B_MSIL2A_20250730T062629_R077_T40QGK_20250730T083814_0001,0.9328226447105408,0.0,0.40901878476142883
