scene_id,scene_id,tile_lat,tile_lon,source_csv
S2A_MSIL2A_20170227T062811_R077_T40QGL_20210208T174006,S2A_MSIL2A_20170227T062811_R077_T40QGL_20210208T174006,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170227T062811_R077_T40QGL_20210208T174006,S2A_MSIL2A_20170227T062811_R077_T40QGL_20210208T174006,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170408T062631_R077_T40QGL_20210209T054516,S2A_MSIL2A_20170408T062631_R077_T40QGL_20210209T054516,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170408T062631_R077_T40QGL_20210209T054516,S2A_MSIL2A_20170408T062631_R077_T40QGL_20210209T054516,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170607T062631_R077_T40QGL_20210209T210403,S2A_MSIL2A_20170607T062631_R077_T40QGL_20210209T210403,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170607T062631_R077_T40QGL_20210209T210403,S2A_MSIL2A_20170607T062631_R077_T40QGL_20210209T210403,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20170712T062629_R077_T40QGL_20210210T075546,S2B_MSIL2A_20170712T062629_R077_T40QGL_20210210T075546,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20170712T062629_R077_T40QGL_20210210T075546,S2B_MSIL2A_20170712T062629_R077_T40QGL_20210210T075546,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170806T062631_R077_T40QGL_20210210T201854,S2A_MSIL2A_20170806T062631_R077_T40QGL_20210210T201854,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170806T062631_R077_T40QGL_20210210T201854,S2A_MSIL2A_20170806T062631_R077_T40QGL_20210210T201854,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170826T062631_R077_T40QGL_20210201T110022,S2A_MSIL2A_20170826T062631_R077_T40QGL_20210201T110022,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20170826T062631_R077_T40QGL_20210201T110022,S2A_MSIL2A_20170826T062631_R077_T40QGL_20210201T110022,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20171005T062721_R077_T40QGL_20210202T140740,S2A_MSIL2A_20171005T062721_R077_T40QGL_20210202T140740,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20171005T062721_R077_T40QGL_20210202T140740,S2A_MSIL2A_20171005T062721_R077_T40QGL_20210202T140740,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171020T062849_R077_T40QGL_20201015T010903,S2B_MSIL2A_20171020T062849_R077_T40QGL_20201015T010903,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171020T062849_R077_T40QGL_20201015T010903,S2B_MSIL2A_20171020T062849_R077_T40QGL_20201015T010903,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171109T063039_R077_T40QGL_20201014T190829,S2B_MSIL2A_20171109T063039_R077_T40QGL_20201014T190829,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171109T063039_R077_T40QGL_20201014T190829,S2B_MSIL2A_20171109T063039_R077_T40QGL_20201014T190829,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171119T063129_R077_T40QGL_20201014T205948,S2B_MSIL2A_20171119T063129_R077_T40QGL_20201014T205948,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171119T063129_R077_T40QGL_20201014T205948,S2B_MSIL2A_20171119T063129_R077_T40QGL_20201014T205948,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171129T063209_R077_T40QGL_20201014T225537,S2B_MSIL2A_20171129T063209_R077_T40QGL_20201014T225537,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20171129T063209_R077_T40QGL_20201014T225537,S2B_MSIL2A_20171129T063209_R077_T40QGL_20201014T225537,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20171224T063251_R077_T40QGL_20201014T155901,S2A_MSIL2A_20171224T063251_R077_T40QGL_20201014T155901,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20171224T063251_R077_T40QGL_20201014T155901,S2A_MSIL2A_20171224T063251_R077_T40QGL_20201014T155901,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180108T063229_R077_T40QGL_20201014T041332,S2B_MSIL2A_20180108T063229_R077_T40QGL_20201014T041332,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180108T063229_R077_T40QGL_20201014T041332,S2B_MSIL2A_20180108T063229_R077_T40QGL_20201014T041332,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180128T063119_R077_T40QGL_20201014T093448,S2B_MSIL2A_20180128T063119_R077_T40QGL_20201014T093448,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180128T063119_R077_T40QGL_20201014T093448,S2B_MSIL2A_20180128T063119_R077_T40QGL_20201014T093448,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180207T063029_R077_T40QGL_20201013T195609,S2B_MSIL2A_20180207T063029_R077_T40QGL_20201013T195609,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180207T063029_R077_T40QGL_20201013T195609,S2B_MSIL2A_20180207T063029_R077_T40QGL_20201013T195609,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180217T062919_R077_T40QGL_20201013T222428,S2B_MSIL2A_20180217T062919_R077_T40QGL_20201013T222428,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180217T062919_R077_T40QGL_20201013T222428,S2B_MSIL2A_20180217T062919_R077_T40QGL_20201013T222428,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180319T062619_R077_T40QGL_20201013T111702,S2B_MSIL2A_20180319T062619_R077_T40QGL_20201013T111702,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180319T062619_R077_T40QGL_20201013T111702,S2B_MSIL2A_20180319T062619_R077_T40QGL_20201013T111702,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180408T062629_R077_T40QGL_20201012T195312,S2B_MSIL2A_20180408T062629_R077_T40QGL_20201012T195312,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180408T062629_R077_T40QGL_20201012T195312,S2B_MSIL2A_20180408T062629_R077_T40QGL_20201012T195312,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180413T062631_R077_T40QGL_20201012T214132,S2A_MSIL2A_20180413T062631_R077_T40QGL_20201012T214132,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180413T062631_R077_T40QGL_20201012T214132,S2A_MSIL2A_20180413T062631_R077_T40QGL_20201012T214132,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180503T062631_R077_T40QGL_20201012T051456,S2A_MSIL2A_20180503T062631_R077_T40QGL_20201012T051456,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180503T062631_R077_T40QGL_20201012T051456,S2A_MSIL2A_20180503T062631_R077_T40QGL_20201012T051456,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180513T062631_R077_T40QGL_20201012T091424,S2A_MSIL2A_20180513T062631_R077_T40QGL_20201012T091424,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180513T062631_R077_T40QGL_20201012T091424,S2A_MSIL2A_20180513T062631_R077_T40QGL_20201012T091424,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180523T062631_R077_T40QGL_20201012T131340,S2A_MSIL2A_20180523T062631_R077_T40QGL_20201012T131340,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180523T062631_R077_T40QGL_20201012T131340,S2A_MSIL2A_20180523T062631_R077_T40QGL_20201012T131340,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180528T062629_R077_T40QGL_20201026T110311,S2B_MSIL2A_20180528T062629_R077_T40QGL_20201026T110311,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180528T062629_R077_T40QGL_20201026T110311,S2B_MSIL2A_20180528T062629_R077_T40QGL_20201026T110311,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180602T062631_R077_T40QGL_20201026T120848,S2A_MSIL2A_20180602T062631_R077_T40QGL_20201026T120848,2.3342290240858468,51.88488815179957,
S2A_MSIL2A_20180602T062631_R077_T40QGL_20201026T120848,S2A_MSIL2A_20180602T062631_R077_T40QGL_20201026T120848,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180617T062629_R077_T40QGL_20201011T231555,S2B_MSIL2A_20180617T062629_R077_T40QGL_20201011T231555,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180617T062629_R077_T40QGL_20201011T231555,S2B_MSIL2A_20180617T062629_R077_T40QGL_20201011T231555,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180707T062629_R077_T40QGL_20201011T130506,S2B_MSIL2A_20180707T062629_R077_T40QGL_20201011T130506,2.3342290240858468,51.88488815179957,
S2B_MSIL2A_20180707T062629_R077_T40QGL_20201011T130506,S2B_MSIL2A_20180707T062629_R077_T40QGL_20201011T130506,2.3342290240858468,51.88488815179957,
