trajectory_id,lon,lat,timestamp
0,59.452972999999986,22.622075,1488176891026
0,59.45017121198242,22.622143837733898,1488263291026
0,59.448707186742354,22.62642666538889,1488349691026
0,59.44515919314057,22.618269485142488,1488436091026
0,59.43786323692581,22.619641577299813,1488522491026
0,59.44168099781345,22.6220798315362,1488608891026
0,59.440667967268155,22.624359666236156,1488695291026
0,59.43675201447482,22.631116063386262,1488781691026
0,59.44150219943893,22.62865239864146,1488868091026
0,59.43988499508569,22.62353402971308,1488954491026
0,59.44930254285521,22.6176520033462,1489040891026
0,59.44204037744754,22.622291795298473,1489127291026
0,59.433981837529586,22.631130473610277,1489213691026
0,59.4297208816389,22.635383200697376,1489300091026
1,59.452972999999986,22.622075,1488176891026
1,59.455842500454196,22.624535213076545,1488263291026
1,59.45843759653931,22.622462739451098,1488349691026
1,59.45313645167147,22.620490206770505,1488436091026
1,59.46400736995474,22.611389656408527,1488522491026
1,59.471465843958754,22.6148903042424,1488608891026
1,59.47007953764725,22.615307455006107,1488695291026
1,59.479504981248596,22.61803226979135,1488781691026
1,59.47920918111487,22.61739591589619,1488868091026
1,59.47402724874382,22.60838514960247,1488954491026
1,59.47369938388718,22.614625829890212,1489040891026
1,59.46822175550062,22.630105461975795,1489127291026
1,59.468023012878746,22.623703655396287,1489213691026
1,59.46635364651769,22.620882396170888,1489300091026
2,59.452972999999986,22.622075,1488176891026
2,59.45694457803813,22.62153238329181,1488263291026
2,59.456145813169115,22.613957242230637,1488349691026
2,59.46094200140254,22.62343801461029,1488436091026
2,59.45329542696382,22.62110410699427,1488522491026
2,59.45771242322118,22.62461321285518,1488608891026
2,59.45774833649415,22.62708330405787,1488695291026
2,59.463560191076,22.63392602051022,1488781691026
2,59.45856946867198,22.637573832211967,1488868091026
2,59.45998393679656,22.637114061878478,1488954491026
2,59.4675326000081,22.629280697245413,1489040891026
2,59.46483821668389,22.62967748643707,1489127291026
2,59.460795451073494,22.625260878459105,1489213691026
2,59.46915728617182,22.619490733683687,1489300091026
3,59.452972999999986,22.622075,1488176891026
3,59.4504463996042,22.62163578366878,1488263291026
3,59.449024782894696,22.620168092225207,1488349691026
3,59.44077487536211,22.622332418763012,1488436091026
3,59.43766755998874,22.626809535751626,1488522491026
3,59.43970175983128,22.616982532262625,1488608891026
3,59.44665703785668,22.626059032343,1488695291026
3,59.45340261666763,22.629442479920527,1488781691026
3,59.457284057722376,22.63271273539302,1488868091026
3,59.454657637746834,22.61642842542482,1488954491026
3,59.45279331427835,22.623911144345573,1489040891026
3,59.4450615252197,22.633311046252647,1489127291026
3,59.43745290849438,22.63383350536153,1489213691026
3,59.43268845031102,22.634998162608404,1489300091026
4,59.452972999999986,22.622075,1488176891026
4,59.44290156874837,22.61410197321262,1488263291026
4,59.44428727360548,22.61104233626264,1488349691026
4,59.43807693029919,22.61365773255998,1488436091026
4,59.43951927050341,22.60387838208253,1488522491026
4,59.440018325411955,22.600813980751372,1488608891026
4,59.44186611290806,22.604062154756058,1488695291026
4,59.44543708375488,22.60692528236403,1488781691026
4,59.45460997725638,22.61491060841478,1488868091026
4,59.44716532523756,22.62108600439009,1488954491026
4,59.45019794690964,22.62216182773502,1489040891026
4,59.456880072892545,22.623797718680674,1489127291026
4,59.44955074815482,22.61178474904642,1489213691026
4,59.45188113726073,22.61451940608514,1489300091026
5,59.452972999999986,22.622075,1488176891026
5,59.44507801608674,22.61658055791508,1488263291026
5,59.44789244218296,22.62216022811857,1488349691026
5,59.44711000629937,22.6120726492518,1488436091026
5,59.45018618540004,22.608890634648656,1488522491026
5,59.44254775023592,22.61815678998397,1488608891026
5,59.43567861849681,22.617672623317855,1488695291026
5,59.429128993887645,22.621533335326525,1488781691026
5,59.42689101739961,22.623588708481446,1488868091026
5,59.42292392668614,22.62557542835295,1488954491026
5,59.421624568241725,22.623460834553224,1489040891026
5,59.41358563670093,22.624621527098775,1489127291026
5,59.4113193661716,22.614688490778686,1489213691026
5,59.41675810920037,22.615782581730333,1489300091026
6,59.452972999999986,22.622075,1488176891026
6,59.45535918886665,22.617086162641897,1488263291026
6,59.45628688818107,22.619024203616764,1488349691026
6,59.461827622558076,22.615690885038195,1488436091026
6,59.469434242446,22.612233121847847,1488522491026
6,59.47975360252758,22.619721898610283,1488608891026
6,59.48536594496002,22.624493048940824,1488695291026
6,59.5093174883265,22.595985384261954,1488781691026
6,59.505596020614774,22.596114062968383,1488868091026
6,59.49729680630773,22.60404077051088,1488954491026
6,59.49901691459087,22.60265028725731,1489040891026
6,59.49232421591634,22.610707295893835,1489127291026
6,59.487835058216916,22.605698492624256,1489213691026
6,59.490755765468634,22.60427035043943,1489300091026
7,59.452972999999986,22.622075,1488176891026
7,59.450715807775225,22.629233242512985,1488263291026
