pid,lon,lat,time
35,59.452972999999986,22.622075,1488176891026
35,59.45375058792831,22.62748951241401,1488263291026
35,59.46461816369654,22.631515796686323,1488349691026
35,59.46290947312155,22.634016970432903,1488436091026
35,59.452809539350426,22.633920206091062,1488522491026
35,59.46005747016514,22.619193928113734,1488608891026
35,59.464634418199296,22.619861571475404,1488695291026
35,59.45875426102441,22.61511866869946,1488781691026
35,59.46398594593339,22.616606789473096,1488868091026
35,59.46060595592971,22.61316546766841,1488954491026
35,59.46228879669556,22.609316010257125,1489040891026
35,59.46359934267011,22.607890641377026,1489127291026
35,59.45521522970466,22.614076161830912,1489213691026
35,59.45342675218478,22.60737314862601,1489300091026
42,59.452972999999986,22.622075,1488176891026
42,59.45745232400011,22.627257145701844,1488263291026
42,59.453543852915175,22.629714830007178,1488349691026
42,59.46044011021854,22.633068868907166,1488436091026
42,59.47488833853575,22.63546491207027,1488522491026
42,59.47987762914187,22.637389698101032,1488608891026
42,59.522393629849944,22.612745928049975,1488695291026
42,59.515023726601214,22.620692466383957,1488781691026
42,59.51720955155031,22.62299257447746,1488868091026
42,59.55120441556875,22.59482823610425,1488954491026
42,59.54116486434654,22.595986859313523,1489040891026
42,59.53795536247077,22.60275498012592,1489127291026
42,59.53412663363497,22.604029254101103,1489213691026
42,59.537599150913024,22.60665515104957,1489300091026
42,59.53687219637643,22.604074307674622,1489386491026
57,59.452972999999986,22.622075,1488176891026
57,59.44991550450524,22.61759142882996,1488263291026
57,59.45193036767648,22.62534610636668,1488349691026
57,59.45313792993576,22.629998340295213,1488436091026
57,59.44992190415047,22.636322341549658,1488522491026
57,59.45618490403672,22.630945188126855,1488608891026
57,59.460508311274,22.63129230666807,1488695291026
57,59.454808928413115,22.63665808446373,1488781691026
57,59.468429077716706,22.63829725473232,1488868091026
57,59.47174859449373,22.639273895908445,1488954491026
57,59.47989021925696,22.637969997846355,1489040891026
57,59.51576409999515,22.61321675314674,1489127291026
57,59.52009036373519,22.62105200592669,1489213691026
57,59.52070071295503,22.61486494942332,1489300091026
57,59.52076802420584,22.614324602211926,1489386491026
59,59.452972999999986,22.622075,1488176891026
59,59.45229286572254,22.617446064637985,1488263291026
59,59.44005612598741,22.61717764519511,1488349691026
59,59.44517001106229,22.62181574629048,1488436091026
59,59.43510376949496,22.61726354333917,1488522491026
59,59.43378150187121,22.620830932109445,1488608891026
59,59.43370797063358,22.61961348814609,1488695291026
59,59.429157864440185,22.614879597220177,1488781691026
59,59.428047976642006,22.61094819235972,1488868091026
59,59.43536538630494,22.595151834866428,1488954491026
59,59.438654718464846,22.597330936187007,1489040891026
59,59.435171449652216,22.594419513765583,1489127291026
59,59.42318906364807,22.595889126289123,1489213691026
59,59.43010533316004,22.611632500439462,1489300091026
59,59.43065848005256,22.607399159650445,1489386491026
103,59.452972999999986,22.622075,1491632791026
103,59.46142033370461,22.62365389788858,1491719191026
103,59.46643211526725,22.619051706362978,1491805591026
103,59.476676943876214,22.622123851610127,1491891991026
103,59.467067484106394,22.625946179214075,1491978391026
103,59.46838170492384,22.623690270980493,1492064791026
103,59.472409589053655,22.614916067775596,1492151191026
103,59.47325628466603,22.61275348074935,1492237591026
103,59.47045894205445,22.609303997673955,1492323991026
103,59.472913084826416,22.598115940097692,1492410391026
103,59.47134647427458,22.5932591247359,1492496791026
103,59.47058632981589,22.582790526162864,1492583191026
103,59.480585003419776,22.588960333012476,1492669591026
103,59.48587786713,22.58799632220281,1492755991026
103,59.49106426147696,22.585037767399147,1492842391026
115,59.452972999999986,22.622075,1491632791026
115,59.45467914231256,22.621872045686516,1491719191026
115,59.45475100438364,22.63054500239632,1491805591026
115,59.46036016403809,22.623828601382034,1491891991026
115,59.46034761159265,22.625661446965704,1491978391026
115,59.473936098343074,22.620555974583542,1492064791026
115,59.46474206736025,22.62639109701144,1492151191026
115,59.46047992568453,22.62699609043287,1492237591026
115,59.462627932312984,22.623205719318687,1492323991026
115,59.46905930537167,22.60735065079726,1492410391026
115,59.47688812443499,22.60186623646966,1492496791026
115,59.47736999619218,22.597359452517495,1492583191026
115,59.48289098298619,22.595169395291123,1492669591026
115,59.489811149476225,22.596814204231407,1492755991026
115,59.49142766972139,22.603635925689492,1492842391026
251,59.452972999999986,22.622075,1496816791026
251,59.45055803564543,22.627144877455205,1496903191026
251,59.4463365630624,22.62571855492743,1496989591026
251,59.44414076875481,22.63046900496106,1497075991026
251,59.448593359038455,22.632926834448444,1497162391026
251,59.44640581292364,22.63047700100931,1497248791026
251,59.43934543580701,22.621244049697047,1497335191026
251,59.446564286977605,22.617208722984277,1497421591026
251,59.45893297941771,22.61768230979099,1497507991026
251,59.45850349208979,22.61809718495423,1497594391026
251,59.46024512053782,22.618384148364957,1497680791026
251,59.47064210899555,22.6215546333792,1497767191026
251,59.470043428462105,22.61587027916436,1497853591026
251,59.471551155745885,22.614901133806686,1497939991026
251,59.4703839634364,22.617039779876553,1498026391026
251,59.46291181824472,22.616986430378855,1498112791026
313,59.452972999999986,22.622075,1499840789027
313,59.450125463355846,22.630194971615857,1499927189027
313,59.453181579561374,22.634226338331217,1500013589027
313,59.44737266265551,22.625159898794426,1500099989027
313,59.448035387706085,22.63674703075034,1500186389027
313,59.44782909897114,22.62282848257812,1500272789027
313,59.44495679808432,22.630151373680047,1500359189027
313,59.445514324094745,22.631726002424394,1500445589027
313,59.443599083819294,22.62784141366726,1500531989027
313,59.437966162850785,22.62489275062625,1500618389027
313,59.437944121657665,22.62772068595801,1500704789027
313,59.445994019821114,22.62485278448341,1500791189027
313,59.447248329413895,22.6277140092446,1500877589027
313,59.45943829487794,22.62862510046188,1500963989027
313,59.452269904514026,22.62040128349873,1501050389027
313,59.44195036114195,22.624527134567465,1501136789027
322,59.452972999999986,22.622075,1499840789027
322,59.45171688303557,22.626048084177675,1499927189027
322,59.4514997481443,22.618841285325445,1500013589027
322,59.44758385173401,22.61549742663291,1500099989027
322,59.448438625881295,22.615697011025613,1500186389027
322,59.451431780690854,22.61653349123285,1500272789027
322,59.449122969038314,22.61465821864923,1500359189027
322,59.44308371622469,22.612280521902083,1500445589027
322,59.44831075975264,22.62077343440285,1500531989027
322,59.43391484474196,22.613078272962444,1500618389027
322,59.43189284884022,22.59696013392192,1500704789027
322,59.435490854433056,22.595331212118168,1500791189027
322,59.43224550731418,22.59397585928333,1500877589027
322,59.43254507640714,22.5931932871307,1500963989027
322,59.43136563364811,22.604266812155146,1501050389027
322,59.43377111772645,22.610113173059332,1501136789027
326,59.452972999999986,22.622075,1499840789027
326,59.46384219216151,22.621240701870516,1499927189027
326,59.46718261156212,22.61337473321252,1500013589027
326,59.46602476736609,22.61921992161888,1500099989027
326,59.453199620195875,22.62188272094334,1500186389027
326,59.44163765052855,22.61090974279574,1500272789027
326,59.433940830797354,22.621368009103985,1500359189027
326,59.45017300988772,22.62285289947062,1500445589027
326,59.45621388508502,22.62537763379427,1500531989027
326,59.46279457882281,22.629652918179097,1500618389027
326,59.46129988115271,22.631190201799267,1500704789027
326,59.46027948929736,22.62637337740656,1500791189027
326,59.46772512489423,22.613000263934843,1500877589027
326,59.4827803576502,22.617022996320664,1500963989027
326,59.47258145515232,22.61413089861963,1501050389027
326,59.47371015120095,22.620054012773064,1501136789027
344,59.452972999999986,22.622075,1499840789027
