datetime,hab_prob,risk_level
2017-02-27T06:28:11.026000+00:00,0.3652690258574907,low
2017-02-27T06:28:11.026000+00:00,0.3429723502631887,low
2017-04-08T06:26:31.026000+00:00,0.3810743914811886,low
2017-04-08T06:26:31.026000+00:00,0.3920045295436062,medium
2017-06-07T06:26:31.026000+00:00,0.4137492934163687,medium
2017-06-07T06:26:31.026000+00:00,0.4340442646704472,medium
2017-07-12T06:26:29.027000+00:00,0.4211539207807129,medium
2017-07-12T06:26:29.027000+00:00,0.4211539207807129,medium
2017-08-06T06:26:31.026000+00:00,0.4182505092943596,medium
2017-08-06T06:26:31.026000+00:00,0.4019190806917709,medium
2017-08-26T06:26:31.026000+00:00,0.3503001833504713,low
2017-08-26T06:26:31.026000+00:00,0.3493436301544658,low
2017-10-05T06:27:21.026000+00:00,0.3948445341995593,medium
2017-10-05T06:27:21.026000+00:00,0.3700884499435271,low
2017-10-20T06:28:49.027000+00:00,0.3807923072848166,low
2017-10-20T06:28:49.027000+00:00,0.3807923072848166,low
2017-11-09T06:30:39.027000+00:00,0.3990743544386179,medium
2017-11-09T06:30:39.027000+00:00,0.3816979576147959,low
2017-11-19T06:31:29.027000+00:00,0.3792850193701731,low
2017-11-19T06:31:29.027000+00:00,0.3901961903681389,medium
2017-11-29T06:32:09.027000+00:00,0.3943341197283735,medium
2017-11-29T06:32:09.027000+00:00,0.4068459465552435,medium
2017-12-24T06:32:51.026000+00:00,0.4676727187099321,medium
2017-12-24T06:32:51.026000+00:00,0.4532513051066903,medium
2018-01-08T06:32:29.027000+00:00,0.398494410499931,medium
2018-01-08T06:32:29.027000+00:00,0.398494410499931,medium
2018-01-28T06:31:19.027000+00:00,0.3931976015658254,medium
2018-01-28T06:31:19.027000+00:00,0.3780968932655674,low
2018-02-07T06:30:29.027000+00:00,0.4978309455134366,medium
2018-02-07T06:30:29.027000+00:00,0.4889886833270309,medium
2018-02-17T06:29:19.027000+00:00,0.3980483002775221,medium
2018-02-17T06:29:19.027000+00:00,0.3592624156655842,low
2018-03-19T06:26:19.027000+00:00,0.3788857010458254,low
2018-03-19T06:26:19.027000+00:00,0.3702132540647868,low
2018-04-08T06:26:29.027000+00:00,0.3726798301324203,low
2018-04-08T06:26:29.027000+00:00,0.3586507688695254,low
2018-04-13T06:26:31.026000+00:00,0.3991404492276104,medium
2018-04-13T06:26:31.026000+00:00,0.4080514779887755,medium
2018-05-03T06:26:31.024000+00:00,0.3851825838412772,low
2018-05-03T06:26:31.024000+00:00,0.3965822728570137,medium
2018-05-13T06:26:31.024000+00:00,0.4155074632237591,medium
2018-05-13T06:26:31.024000+00:00,0.4245257264069467,medium
2018-05-23T06:26:31.024000+00:00,0.5080768428862025,medium
2018-05-23T06:26:31.024000+00:00,0.5080768428862025,medium
