fold,auprc,auroc,test_pos,test_total
1,0.9383982478319702,0.9971326164874552,24,489
2,0.8795761782974061,0.9951702786377709,17,492
3,0.995238095238095,0.9998521147589471,14,497
4,0.9321308745575425,0.9977798334875116,23,493
5,0.9777986956555473,0.9990964535803025,19,485
mean,0.9446284183161122,0.9978062593903975,97,2456
