                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.1581,                 4.0229,                  3.711,                0.00345,                      1,                0.29109,                0.13624,                  2.482,                 3.2385,                 3.7456,              0.0006536,              0.0006536,              0.0006536
                     36,                 3.2422,                  4.022,                  3.653,                 0.0068,                0.83333,                0.32927,                0.13804,                 2.5171,                 3.2524,                 3.5627,               0.000614,               0.000614,               0.000614
                     37,                 2.9802,                 3.4184,                 3.5916,                 0.0068,                0.83333,                0.32927,                0.13804,                 2.5171,                 3.2524,                 3.5627,              0.0005744,              0.0005744,              0.0005744
                     38,                  2.837,                 3.8322,                  3.504,                 0.0033,                      1,                0.34995,                0.14326,                 2.5531,                 3.5081,                  3.501,              0.0005348,              0.0005348,              0.0005348
                     39,                 3.0317,                 4.0198,                 3.6443,                0.00463,                      1,                0.41991,                0.13944,                 2.6725,                 3.5762,                 3.4638,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.8548,                 3.6016,                 3.7049,                0.12478,                0.83333,                0.39493,                0.12119,                 2.7226,                 3.5667,                 3.4515,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.4975,                 5.9264,                 3.3943,                0.12478,                0.83333,                0.39493,                0.12119,                 2.7226,                 3.5667,                 3.4515,               0.000416,               0.000416,               0.000416
                     42,                 2.9761,                 4.1613,                 3.7069,                0.02004,                0.83333,                0.34311,                 0.0932,                 2.7674,                 3.8221,                 3.4665,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.8623,                  4.317,                 3.6032,                0.21331,                    0.5,                0.33572,                0.10933,                 2.6915,                 3.7149,                 3.4289,              0.0003368,              0.0003368,              0.0003368
                     44,                 3.0019,                 4.7331,                  3.544,                  0.355,                    0.5,                0.37062,                0.11183,                 2.5569,                 3.6193,                 3.4086,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.5055,                 4.6225,                 3.5137,                  0.355,                    0.5,                0.37062,                0.11183,                 2.5569,                 3.6193,                 3.4086,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.6434,                 4.0857,                 3.5159,                0.32127,                    0.5,                0.37048,                0.11388,                 2.5902,                 3.6172,                 3.4368,               0.000218,               0.000218,               0.000218
                     47,                 2.6935,                 5.9098,                 3.6892,                0.39022,                    0.5,                0.41668,                0.14496,                 2.5859,                 3.6088,                 3.4322,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.6666,                 4.2246,                 3.5602,                0.55185,                0.41975,                0.42151,                0.14981,                 2.5601,                 3.5297,                 3.4118,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.4066,                 4.3213,                 3.4152,                0.55185,                0.41975,                0.42151,                0.14981,                 2.5601,                 3.5297,                 3.4118,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.6241,                 4.4153,                 3.3485,                0.64831,                0.31498,                0.43339,                0.15767,                 2.5463,                 3.4757,                 3.4125,               5.96e-05,               5.96e-05,               5.96e-05
