fold,auprc,auroc,test_pos,test_total
1,0.7317853542869429,0.8704806795814772,98,492
2,0.7520289996704621,0.8879097780831885,143,489
3,0.7549683683174926,0.8523478260869566,150,495
4,0.7870822149849291,0.8785143097643097,132,492
5,0.6798522378398624,0.8611898016997168,135,488
mean,0.7411434350199377,0.8700884790431298,658,2456
