tile,scene_id,datetime,month_key,fai_mean,rednir_mean,ndwi_mean,kd490,chlor_a,nflh,sst,month_sin,month_cos,ndwi_std,rednir_std,hab_label,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med,p_tab,date_key,region_key,group_for_cv,log_kd490,log_chlor_a,log_nflh,ratio_chl_kd,chl_times_nflh,ratio_nflh_kd
S2A_MSIL2A_20200730T065631_R063_T39QXG_20200818T030617_0000.jpg,S2A_MSIL2A_20200730T065631_R063_T39QXG_20200818T030617,2020-07-30 06:56:31.024000+00:00,2020-07,0.0457770600914955,0.9349774718284608,-0.1381731331348419,0.079,0.657256,0.549235,25.7583,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,0.0,1,0.4597494304180145,0.3252763450145721,0.3841619491577148,0.6230043024444036,2020-07-30 06:56:31.024,T39QXG,T39QXG,-1.1023729087095586,-0.18226544058866315,-0.2602417951378743,8.319696202531645,0.36098799916,6.952341772151899
S2B_MSIL2A_20200725T065629_R063_T39QXG_20200817T124238_0000.jpg,S2B_MSIL2A_20200725T065629_R063_T39QXG_20200817T124238,2020-07-25 06:56:29.024000+00:00,2020-07,0.0452459082007408,0.949450433254242,-0.1251183450222015,0.0662,0.349124,0.136407,25.795,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,5.960464477539065e-08,0,0.4597494304180145,0.3252763450145721,0.3841619491577148,0.6634760492013403,2020-07-25 06:56:29.024,T39QXG,T39QXG,-1.1791420105603,-0.4570202952439751,-0.865163342411442,5.273776435045318,0.047622957468,2.0605287009063447
S2B_MSIL2A_20200715T065629_R063_T39QXG_20200919T085206_0000.jpg,S2B_MSIL2A_20200715T065629_R063_T39QXG_20200919T085206,2020-07-15 06:56:29.024000+00:00,2020-07,0.0415606498718261,0.9157006740570068,-0.149097666144371,0.0574667,0.258787,0.0878551,26.055,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,1.1920928955078125e-07,0,0.4597494304180145,0.3252763450145721,0.3841619491577148,0.5414844062801689,2020-07-15 06:56:29.024,T39QXG,T39QXG,-1.240583741320089,-0.5870575439618754,-1.0562330225856607,4.503251448230018,0.0227357577637,1.5288001573084935
S2A_MSIL2A_20200710T065631_R063_T39QXG_20200912T162127_0000.jpg,S2A_MSIL2A_20200710T065631_R063_T39QXG_20200912T162127,2020-07-10 06:56:31.024000+00:00,2020-07,0.0433180332183837,0.9093058109283448,-0.1558618694543838,0.0619667,0.365672,0.136407,26.31,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,2.384185791015625e-07,0,0.4597494304180145,0.3252763450145721,0.3841619491577148,0.4958884768771762,2020-07-10 06:56:31.024,T39QXG,T39QXG,-1.207841631330569,-0.43690829290517313,-0.865163342411442,5.901104948302879,0.049880220504,2.201295211783103
S2A_MSIL2A_20200630T065631_R063_T39QXG_20200824T160716_0000.jpg,S2A_MSIL2A_20200630T065631_R063_T39QXG_20200824T160716,2020-06-30 06:56:31.024000+00:00,2020-06,0.0442426428198814,0.896254301071167,-0.1694410592317581,0.0608667,0.417303,0.16206,26.6833,1.2246467991473532e-16,-1.0,0.0,1.788139343261719e-07,1,0.9655658304691316,0.2322789691388607,0.4972379505634308,0.4140980558464754,2020-06-30 06:56:31.024,T39QXG,T39QXG,-1.2156202436821912,-0.37954849312494954,-0.7903241654289055,6.856014865271158,0.06762812418,2.6625396152576037
S2B_MSIL2A_20210928T065649_R063_T39QXG_20210929T000956_0000.jpg,S2B_MSIL2A_20210928T065649_R063_T39QXG_20210929T000956,2021-09-28 06:56:49.024000+00:00,2021-09,0.0381704866886138,0.901161015033722,-0.1571357548236847,0.069,0.498898,0.324155,26.2362,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,1.1920928955078125e-07,1,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.6279809496343469,2021-09-28 06:56:49.024,T39QXG,T39QXG,-1.1611509092627446,-0.30198823707245354,-0.48924727513878136,7.230405797101449,0.16172028119,4.697898550724638
S2A_MSIL2A_20210923T065631_R063_T39QXG_20210924T013326_0000.jpg,S2A_MSIL2A_20210923T065631_R063_T39QXG_20210924T013326,2021-09-23 06:56:31.024000+00:00,2021-09,0.0394098535180091,0.8708190321922302,-0.1842517852783203,0.069,0.498898,0.324155,26.2362,-1.0,-1.8369701987210294e-16,0.0,5.960464477539065e-08,1,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.5960071391793947,2021-09-23 06:56:31.024,T39QXG,T39QXG,-1.1611509092627446,-0.30198823707245354,-0.48924727513878136,7.230405797101449,0.16172028119,4.697898550724638
S2B_MSIL2A_20210918T065619_R063_T39QXG_20210918T182437_0000.jpg,S2B_MSIL2A_20210918T065619_R063_T39QXG_20210918T182437,2021-09-18 06:56:19.024000+00:00,2021-09,0.0412130951881408,0.90558123588562,-0.1580696403980255,0.0863333,0.761699,0.0376767,26.3917,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,1.788139343261719e-07,1,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.6568089086803692,2021-09-18 06:56:19.024,T39QXG,T39QXG,-1.0638216583197102,-0.11821661457172887,-1.4239271428895706,8.822771746243918,0.0286983047133,0.4364098210076529
S2A_MSIL2A_20210913T065621_R063_T39QXG_20210913T211924_0000.jpg,S2A_MSIL2A_20210913T065621_R063_T39QXG_20210913T211924,2021-09-13 06:56:21.024000+00:00,2021-09,0.0492262244224548,0.9547759890556335,-0.1293662637472152,0.0524,0.219145,0.243207,26.4733,-1.0,-1.8369701987210294e-16,0.0,1.1920928955078125e-07,0,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.5430893799594269,2021-09-13 06:56:21.024,T39QXG,T39QXG,-1.2806687130162733,-0.6592684337354676,-0.6140239293268385,4.1821564885496185,0.053297598015,4.641354961832061
S2B_MSIL2A_20210908T065619_R063_T39QXG_20210908T213712_0000.jpg,S2B_MSIL2A_20210908T065619_R063_T39QXG_20210908T213712,2021-09-08 06:56:19.024000+00:00,2021-09,0.0401180014014244,0.9021634459495544,-0.1573083698749542,0.0524,0.219145,0.243207,26.4733,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,1.1920928955078125e-07,0,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.5347499491002734,2021-09-08 06:56:19.024,T39QXG,T39QXG,-1.2806687130162733,-0.6592684337354676,-0.6140239293268385,4.1821564885496185,0.053297598015,4.641354961832061
S2A_MSIL2A_20210903T065621_R063_T39QXG_20210903T164501_0000.jpg,S2A_MSIL2A_20210903T065621_R063_T39QXG_20210903T164501,2021-09-03 06:56:21.024000+00:00,2021-09,0.0475147739052772,0.9252168536186218,-0.1482071727514267,0.0554667,0.221893,0.16818,26.1433,-1.0,-1.8369701987210294e-16,0.0,1.1920928955078125e-07,0,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.4869381581964915,2021-09-03 06:56:21.024,T39QXG,T39QXG,-1.2559676717707557,-0.6538563981254717,-0.7742256518560703,4.000472355485363,0.03731796474,3.032089523984661
S2B_MSIL2A_20210829T065619_R063_T39QXG_20210829T203957_0000.jpg,S2B_MSIL2A_20210829T065619_R063_T39QXG_20210829T203957,2021-08-29 06:56:19.024000+00:00,2021-08,0.044950820505619,0.9159308075904846,-0.1530115604400634,0.0554667,0.221893,0.16818,26.1433,-0.8660254037844384,-0.5000000000000004,0.0,5.960464477539065e-08,0,0.5055291652679443,0.2209579199552536,0.4078102111816406,0.5461831200898313,2021-08-29 06:56:19.024,T39QXG,T39QXG,-1.2559676717707557,-0.6538563981254717,-0.7742256518560703,4.000472355485363,0.03731796474,3.032089523984661
S2A_MSIL2A_20210824T065621_R063_T39QXG_20210824T155101_0000.jpg,S2A_MSIL2A_20210824T065621_R063_T39QXG_20210824T155101,2021-08-24 06:56:21.024000+00:00,2021-08,0.0465967431664466,0.9249182343482972,-0.1470452100038528,0.0496,0.191344,0.15645,25.9283,-0.8660254037844384,-0.5000000000000004,0.0,0.0,0,0.5055291652679443,0.2209579199552536,0.4078102111816406,0.557576977359784,2021-08-24 06:56:21.024,T39QXG,T39QXG,-1.3045183235098026,-0.7181851514574892,-0.8056244325177879,3.8577419354838707,0.0299357688,3.154233870967742
S2B_MSIL2A_20210819T065619_R063_T39QXG_20210819T181500_0000.jpg,S2B_MSIL2A_20210819T065619_R063_T39QXG_20210819T181500,2021-08-19 06:56:19.024000+00:00,2021-08,0.0410950779914855,0.8972957134246826,-0.1611744612455368,0.0496,0.128509,0.16818,24.8367,-0.8660254037844384,-0.5000000000000004,0.0,1.788139343261719e-07,0,0.5055291652679443,0.2209579199552536,0.4078102111816406,0.4440497087198927,2021-08-19 06:56:19.024,T39QXG,T39QXG,-1.3045183235098026,-0.8910664558854904,-0.7742256518560703,2.5909072580645165,0.02161264362,3.390725806451613
S2A_MSIL2A_20210814T065631_R063_T39QXG_20210814T183828_0000.jpg,S2A_MSIL2A_20210814T065631_R063_T39QXG_20210814T183828,2021-08-14 06:56:31.024000+00:00,2021-08,0.0505704879760742,0.9285696148872375,-0.1530180871486663,0.0496,0.128509,0.16818,24.8367,-0.8660254037844384,-0.5000000000000004,0.0,1.1920928955078125e-07,0,0.5055291652679443,0.2209579199552536,0.4078102111816406,0.6066184437050547,2021-08-14 06:56:31.024,T39QXG,T39QXG,-1.3045183235098026,-0.8910664558854904,-0.7742256518560703,2.5909072580645165,0.02161264362,3.390725806451613
S2A_MSIL2A_20210804T065631_R063_T39QXG_20210804T174443_0000.jpg,S2A_MSIL2A_20210804T065631_R063_T39QXG_20210804T174443,2021-08-04 06:56:31.024000+00:00,2021-08,0.044314719736576,0.8905991911888123,-0.1743947714567184,0.1158,1.25599,0.1862,25.6675,-0.8660254037844384,-0.5000000000000004,2.9802322387695312e-08,5.960464477539065e-08,1,0.5055291652679443,0.2209579199552536,0.4078102111816406,0.5413863479546878,2021-08-04 06:56:31.024,T39QXG,T39QXG,-0.9362914406085826,0.09898618162879838,-0.7300203233546761,10.846200345423142,0.233865338,1.607944732297064
S2B_MSIL2A_20210730T065629_R063_T39QXG_20210730T184548_0000.jpg,S2B_MSIL2A_20210730T065629_R063_T39QXG_20210730T184548,2021-07-30 06:56:29.024000+00:00,2021-07,0.0426426157355308,0.8977594971656799,-0.1609268337488174,0.1158,1.25599,0.1862,25.6675,-0.5000000000000001,-0.8660254037844386,0.0,0.0,1,0.1284322291612625,0.2288760393857955,0.4270548522472381,0.4694210710144492,2021-07-30 06:56:29.024,T39QXG,T39QXG,-0.9362914406085826,0.09898618162879838,-0.7300203233546761,10.846200345423142,0.233865338,1.607944732297064
S2A_MSIL2A_20210725T065631_R063_T39QXG_20210726T051413_0000.jpg,S2A_MSIL2A_20210725T065631_R063_T39QXG_20210726T051413,2021-07-25 06:56:31.024000+00:00,2021-07,0.0488065481185913,0.9388868808746338,-0.1369273960590362,0.0744,0.575363,0.0993299,26.3933,-0.5000000000000001,-0.8660254037844386,2.9802322387695312e-08,1.1920928955078125e-07,0,0.1284322291612625,0.2288760393857955,0.4270548522472381,0.5869706987662925,2021-07-25 06:56:31.024,T39QXG,T39QXG,-1.1284270644541214,-0.24005806982228722,-1.0029200017523712,7.7333736559139785,0.05715074925369999,1.3350793010752688
S2B_MSIL2A_20210720T065629_R063_T39QXG_20210720T171952_0000.jpg,S2B_MSIL2A_20210720T065629_R063_T39QXG_20210720T171952,2021-07-20 06:56:29.024000+00:00,2021-07,0.0492786765098571,0.9628384113311768,-0.1184482648968696,0.0744,0.575363,0.0993299,26.3933,-0.5000000000000001,-0.8660254037844386,7.450580596923828e-09,1.788139343261719e-07,0,0.1284322291612625,0.2288760393857955,0.4270548522472381,0.6930636317845276,2021-07-20 06:56:29.024,T39QXG,T39QXG,-1.1284270644541214,-0.24005806982228722,-1.0029200017523712,7.7333736559139785,0.05715074925369999,1.3350793010752688
