setting,mean_auprc,mean_auroc,delta_auprc,delta_auroc
FULL,0.9237740685615179,0.9128711201079622,,
DROP_p_ssd_mb_med,0.844333424029742,0.7568319838056681,-0.0794406445317759,-0.15603913630229416
