setting,mean_auprc,mean_auroc,delta_auprc,delta_auroc
FULL,0.9237740685615179,0.9128711201079622,,
DROP_p_tab,0.8337856384819562,0.7424089068825911,-0.0899884300795617,-0.17046221322537114
