fold,auprc,auroc,test_pos,test_total
2,0.6583028083028083,0.6511111111111112,15,30
3,0.7911285937401534,0.7961956521739131,16,39
4,0.9069682721942501,0.8410174880763117,51,88
mean,0.7854665580790706,0.7627747504537786,82,157
