tile,scene_id,datetime,month_key,fai_mean,rednir_mean,ndwi_mean,kd490,chlor_a,nflh,sst,month_sin,month_cos,ndwi_std,rednir_std,hab_label,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med,p_tab,date_key,region_key,group_for_cv,_month_ord,month_num,sst_clim_rm,sst_anom,sst_anom_z,log_kd490,log_chlor_a,log_nflh,ratio_chl_kd,chl_times_nflh,ratio_nflh_kd,sst_anom_x_chlor_a,sst_anom_x_nflh,sst_anom_x_fai_mean,sst_anom_x_kd490,sst_anom_x_month_sin,sst_anom_x_month_cos
S2B_MSIL2A_20200715T065629_R063_T39QXG_20200919T085206_0000.jpg,S2B_MSIL2A_20200715T065629_R063_T39QXG_20200919T085206,2020-07-15 06:56:29.024000+00:00,2020-07,0.0415606498718261,0.9157006740570068,-0.149097666144371,0.0574667,0.258787,0.0878551,26.055,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,1.1920928955078125e-07,0,0.4597494304180145,0.3252763450145721,0.3841619491577148,0.5414844062801689,2020-07-15 06:56:29.024,T39QXG,S2B_MSIL2A_20200715T065629_R063_T39QXG_20200919T085206,24247,7,25.825766666666667,0.22923333333333318,0.44336855856495716,-1.240583741320089,-0.5870575439618754,-1.0562330225856607,4.503251448230018,0.0227357577637,1.5288001573084935,0.05932260663333329,0.02013931742333332,0.009527086305618264,0.013173283196666658,-0.11461666666666662,-0.19852189006085266
S2A_MSIL2A_20200710T065631_R063_T39QXG_20200912T162127_0000.jpg,S2A_MSIL2A_20200710T065631_R063_T39QXG_20200912T162127,2020-07-10 06:56:31.024000+00:00,2020-07,0.0433180332183837,0.9093058109283448,-0.1558618694543838,0.0619667,0.365672,0.136407,26.31,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,2.384185791015625e-07,0,0.4597494304180145,0.3252763450145721,0.3841619491577148,0.4958884768771762,2020-07-10 06:56:31.024,T39QXG,S2A_MSIL2A_20200710T065631_R063_T39QXG_20200912T162127,24247,7,25.825766666666667,0.4842333333333322,0.9365733677872796,-1.207841631330569,-0.43690829290517313,-0.865163342411442,5.901104948302879,0.049880220504,2.201295211783103,0.17707057146666624,0.06605281629999984,0.02097603561878195,0.030006341696666595,-0.24211666666666615,-0.41935836802588367
S2A_MSIL2A_20200630T065631_R063_T39QXG_20200824T160716_0000.jpg,S2A_MSIL2A_20200630T065631_R063_T39QXG_20200824T160716,2020-06-30 06:56:31.024000+00:00,2020-06,0.0442426428198814,0.896254301071167,-0.1694410592317581,0.0608667,0.417303,0.16206,26.6833,1.2246467991473532e-16,-1.0,0.0,1.788139343261719e-07,1,0.9655658304691316,0.2322789691388607,0.4972379505634308,0.4140980558464754,2020-06-30 06:56:31.024,T39QXG,S2A_MSIL2A_20200630T065631_R063_T39QXG_20200824T160716,24246,6,26.377074999999998,0.3062250000000013,0.54963698879345,-1.2156202436821912,-0.37954849312494954,-0.7903241654289055,6.856014865271158,0.06762812418,2.6625396152576037,0.12778861117500054,0.049626823500000215,0.01354820329751824,0.01863890520750008,3.7501746606889985e-17,-0.3062250000000013
S2B_MSIL2A_20210928T065649_R063_T39QXG_20210929T000956_0000.jpg,S2B_MSIL2A_20210928T065649_R063_T39QXG_20210929T000956,2021-09-28 06:56:49.024000+00:00,2021-09,0.0381704866886138,0.901161015033722,-0.1571357548236847,0.069,0.498898,0.324155,26.2362,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,1.1920928955078125e-07,1,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.6279809496343469,2021-09-28 06:56:49.024,T39QXG,S2B_MSIL2A_20210928T065649_R063_T39QXG_20210929T000956,24261,9,26.232494736842103,0.0037052631578973205,0.013681246106347793,-1.1611509092627446,-0.30198823707245354,-0.48924727513878136,7.230405797101449,0.16172028119,4.697898550724638,0.0018485483789486574,0.001201079578948206,0.0001414316980463308,0.00025566315789491513,-0.0037052631578973205,-6.80645799947635e-19
S2A_MSIL2A_20210923T065631_R063_T39QXG_20210924T013326_0000.jpg,S2A_MSIL2A_20210923T065631_R063_T39QXG_20210924T013326,2021-09-23 06:56:31.024000+00:00,2021-09,0.0394098535180091,0.8708190321922302,-0.1842517852783203,0.069,0.498898,0.324155,26.2362,-1.0,-1.8369701987210294e-16,0.0,5.960464477539065e-08,1,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.5960071391793947,2021-09-23 06:56:31.024,T39QXG,S2A_MSIL2A_20210923T065631_R063_T39QXG_20210924T013326,24261,9,26.232494736842103,0.0037052631578973205,0.013681246106347793,-1.1611509092627446,-0.30198823707245354,-0.48924727513878136,7.230405797101449,0.16172028119,4.697898550724638,0.0018485483789486574,0.001201079578948206,0.00014602387829840924,0.00025566315789491513,-0.0037052631578973205,-6.80645799947635e-19
S2B_MSIL2A_20210918T065619_R063_T39QXG_20210918T182437_0000.jpg,S2B_MSIL2A_20210918T065619_R063_T39QXG_20210918T182437,2021-09-18 06:56:19.024000+00:00,2021-09,0.0412130951881408,0.90558123588562,-0.1580696403980255,0.0863333,0.761699,0.0376767,26.3917,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,1.788139343261719e-07,1,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.6568089086803692,2021-09-18 06:56:19.024,T39QXG,S2B_MSIL2A_20210918T065619_R063_T39QXG_20210918T182437,24261,9,26.232494736842103,0.1592052631578973,0.587846610043512,-1.0638216583197102,-0.11821661457172887,-1.4239271428895706,8.822771746243918,0.0286983047133,0.4364098210076529,0.12126648974210721,0.005998328938421149,0.006561341664979427,0.013744715745789695,-0.1592052631578973,-2.924553239005964e-17
S2A_MSIL2A_20210913T065621_R063_T39QXG_20210913T211924_0000.jpg,S2A_MSIL2A_20210913T065621_R063_T39QXG_20210913T211924,2021-09-13 06:56:21.024000+00:00,2021-09,0.0492262244224548,0.9547759890556335,-0.1293662637472152,0.0524,0.219145,0.243207,26.4733,-1.0,-1.8369701987210294e-16,0.0,1.1920928955078125e-07,0,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.5430893799594269,2021-09-13 06:56:21.024,T39QXG,S2A_MSIL2A_20210913T065621_R063_T39QXG_20210913T211924,24261,9,26.232494736842103,0.2408052631578954,0.8891449617944543,-1.2806687130162733,-0.6592684337354676,-0.6140239293268385,4.1821564885496185,0.053297598015,4.641354961832061,0.05277126939473699,0.058565525636842274,0.011853933926318847,0.01261819578947372,-0.2408052631578954,-4.423520921162289e-17
S2B_MSIL2A_20210908T065619_R063_T39QXG_20210908T213712_0000.jpg,S2B_MSIL2A_20210908T065619_R063_T39QXG_20210908T213712,2021-09-08 06:56:19.024000+00:00,2021-09,0.0401180014014244,0.9021634459495544,-0.1573083698749542,0.0524,0.219145,0.243207,26.4733,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,1.1920928955078125e-07,0,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.5347499491002734,2021-09-08 06:56:19.024,T39QXG,S2B_MSIL2A_20210908T065619_R063_T39QXG_20210908T213712,24261,9,26.232494736842103,0.2408052631578954,0.8891449617944543,-1.2806687130162733,-0.6592684337354676,-0.6140239293268385,4.1821564885496185,0.053297598015,4.641354961832061,0.05277126939473699,0.058565525636842274,0.00966062588483882,0.01261819578947372,-0.2408052631578954,-4.423520921162289e-17
S2A_MSIL2A_20210903T065621_R063_T39QXG_20210903T164501_0000.jpg,S2A_MSIL2A_20210903T065621_R063_T39QXG_20210903T164501,2021-09-03 06:56:21.024000+00:00,2021-09,0.0475147739052772,0.9252168536186218,-0.1482071727514267,0.0554667,0.221893,0.16818,26.1433,-1.0,-1.8369701987210294e-16,0.0,1.1920928955078125e-07,0,0.7133057117462158,0.2457146346569061,0.4348998367786407,0.4869381581964915,2021-09-03 06:56:21.024,T39QXG,S2A_MSIL2A_20210903T065621_R063_T39QXG_20210903T164501,24261,9,26.232494736842103,-0.08919473684210288,-0.32934101955129,-1.2559676717707557,-0.6538563981254717,-0.7742256518560703,4.000472355485363,0.03731796474,3.032089523984661,-0.019791687742104738,-0.015000770842104863,-0.004238067754593217,-0.004947337709999868,0.08919473684210288,1.6384807346170766e-17
S2B_MSIL2A_20210829T065619_R063_T39QXG_20210829T203957_0000.jpg,S2B_MSIL2A_20210829T065619_R063_T39QXG_20210829T203957,2021-08-29 06:56:19.024000+00:00,2021-08,0.044950820505619,0.9159308075904846,-0.1530115604400634,0.0554667,0.221893,0.16818,26.1433,-0.8660254037844384,-0.5000000000000004,0.0,5.960464477539065e-08,0,0.5055291652679443,0.2209579199552536,0.4078102111816406,0.5461831200898313,2021-08-29 06:56:19.024,T39QXG,S2B_MSIL2A_20210829T065619_R063_T39QXG_20210829T203957,24260,8,25.508007692307693,0.6352923076923069,1.392567497029527,-1.2559676717707557,-0.6538563981254717,-0.7742256518560703,4.000472355485363,0.03731796474,3.032089523984661,0.14096691603076908,0.10684346030769218,0.028556910491677367,0.035237567843076884,-0.5501792772903777,-0.31764615384615374
