fold,auprc,auroc,test_pos,test_total
2,1.0,1.0,2,4
3,0.41666666666666663,0.33333333333333337,2,5
4,0.5001103738071794,0.5376432078559739,91,185
mean,0.6389256801579486,0.6236588470631025,95,194
