plant_id,name,lat,lon,country,capacity_m3_day,osm_type,osm_id,operator,tags_json,name_local
osm:way/449632054,Sur Desalination Plant,22.6220753,59.4529725,,,way,449632054,,"{""@id"": ""way/449632054"", ""building"": ""industrial"", ""name"": ""Sur Desalination Plant"", ""@geometry"": ""center""}",Sur Desalination Plant
osm:way/368173509,Wastewater Desalination Plant (Ad Dakhiliyah) (Site A),22.9875033,57.3387918,,,way,368173509,,"{""@id"": ""way/368173509"", ""highway"": ""unclassified"", ""name"": ""محطة تحلية مياه الصرف الصحي"", ""oneway"": ""no"", ""@geometry"": ""center""}",محطة تحلية مياه الصرف الصحي
osm:way/386838289,Ghubrah Power & Desalination Plant,23.6018997,58.4137212,,,way,386838289,Al Ghubrah Power and Desalination Company SAOC,"{""@id"": ""way/386838289"", ""landuse"": ""industrial"", ""name"": ""محطة تحلية المياة والطاقة بالغبرة"", ""name:en"": ""Ghubrah Power & Desalination Plant"", ""name:fa"": ""نیروگاه و نمک‌زدایی آب غبره"", ""operator"": ""Al Ghubrah Power and Desalination Company SAOC"", ""plant:output:electricity"": ""190 MW"", ""plant:source"": ""gas"", ""power"": ""plant"", ""@geometry"": ""center""}",Ghubrah Power & Desalination Plant
osm:way/897718173,Wastewater Desalination Plant (Ad Dakhiliyah) (Site B),22.9847507,57.3435253,,,way,897718173,,"{""@id"": ""way/897718173"", ""highway"": ""unclassified"", ""name"": ""محطة تحلية مياه الصرف الصحي"", ""oneway"": ""no"", ""@geometry"": ""center""}",محطة تحلية مياه الصرف الصحي
osm:way/1079022886,Water Desalination Plant (Musandam),25.6716585,56.2667608,,,way,1079022886,,"{""@id"": ""way/1079022886"", ""building"": ""yes"", ""name"": ""محطة تحلية المياه"", ""@geometry"": ""center""}",محطة تحلية المياه
osm:way/1236881046,Sharqiyah Desalination solar farm,21.9310725,59.6321193,,,way,1236881046,Total Energies,"{""@id"": ""way/1236881046"", ""name"": ""Sharqiyah Desalination solar farm"", ""operator"": ""Total Energies"", ""plant:method"": ""photovoltaic"", ""plant:output:electricity"": ""17 MW"", ""plant:source"": ""solar"", ""power"": ""plant"", ""@geometry"": ""center""}",Sharqiyah Desalination solar farm
