scene_id,scene_root,scene_lat,scene_lon
S2A_MSIL2A_20220210T070031_R063_T39QXG_20220221T065843,S2A_MSIL2A_20220210T070031_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220302T065811_R063_T39QXG_20220304T043204,S2A_MSIL2A_20220302T065811_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220302T065811_R063_T39QXG_20240528T164922,S2A_MSIL2A_20220302T065811_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20220312T065701_R063_T39QXG_20220312T225303,S2A_MSIL2A_20220312T065701_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220312T065701_R063_T39QXG_20240523T070747,S2A_MSIL2A_20220312T065701_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20220322T065631_R063_T39QXG_20220322T215023,S2A_MSIL2A_20220322T065631_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220322T065631_R063_T39QXG_20240522T141858,S2A_MSIL2A_20220322T065631_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20220819T065641_R063_T39QXG_20220819T215726,S2A_MSIL2A_20220819T065641_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220819T065641_R063_T39QXG_20240720T015827,S2A_MSIL2A_20220819T065641_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20220829T065641_R063_T39QXG_20220830T225205,S2A_MSIL2A_20220829T065641_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220829T065641_R063_T39QXG_20240718T033121,S2A_MSIL2A_20220829T065641_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20220908T065631_R063_T39QXG_20220911T052036,S2A_MSIL2A_20220908T065631_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220918T065631_R063_T39QXG_20220919T032927,S2A_MSIL2A_20220918T065631_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220918T065631_R063_T39QXG_20240729T142658,S2A_MSIL2A_20220918T065631_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20220928T065651_R063_T39QXG_20220928T234907,S2A_MSIL2A_20220928T065651_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20220928T065651_R063_T39QXG_20240730T192859,S2A_MSIL2A_20220928T065651_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20230205T070101_R063_T39QXG_20230206T042309,S2A_MSIL2A_20230205T070101_R063_T39QXG,23.909196944999998,52.523819395000004
S2A_MSIL2A_20230205T070101_R063_T39QXG_20240817T062535,S2A_MSIL2A_20230205T070101_R063_T39QXG,23.909196950000002,52.5238194
S2A_MSIL2A_20230225T065851_R063_T39QXG_20230227T033301,S2A_MSIL2A_20230225T065851_R063_T39QXG,23.909196944999998,52.523819395000004
