scene_id,scene_prob,max_tile_prob,mean_tile_prob,n_tiles,n_tiles_over_thr,threshold_tile_used,agg,best_tile,best_tile_prob,scene_alert,scene_root,scene_lat,scene_lon
S2A_MSIL2A_20250105T070301_R063_T39QXG,0.4610131847179606,0.4610131847179606,0.4610131847179606,1,0,0.5327723842346281,max,S2A_MSIL2A_20250105T070301_R063_T39QXG_20250105T101308_0000.jpg,0.4610131847179606,0,S2A_MSIL2A_20250105T070301_R063_T39QXG,23.90919695,52.5238194
S2B_MSIL2A_20240106T070259_R063_T39QXG,0.4587741595846115,0.4587741595846115,0.4587741595846115,1,0,0.5327723842346281,max,S2B_MSIL2A_20240106T070259_R063_T39QXG_20240106T101530_0000.jpg,0.4587741595846115,0,S2B_MSIL2A_20240106T070259_R063_T39QXG,23.909196945,52.523819395
S2B_MSIL2A_20231227T070309_R063_T39QXG,0.4454678009850565,0.4454678009850565,0.4454678009850565,1,0,0.5327723842346281,max,S2B_MSIL2A_20231227T070309_R063_T39QXG_20231227T102112_0000.jpg,0.4454678009850565,0,S2B_MSIL2A_20231227T070309_R063_T39QXG,23.909196945,52.523819395
S2B_MSIL2A_20240714T065619_R063_T39QXG,0.4380947886065175,0.4380947886065175,0.4380947886065175,1,0,0.5327723842346281,max,S2B_MSIL2A_20240714T065619_R063_T39QXG_20240714T115201_0000.jpg,0.4380947886065175,0,S2B_MSIL2A_20240714T065619_R063_T39QXG,23.90919695,52.5238194
S2A_MSIL2A_20230307T065731_R063_T39QXG,0.4317072097588436,0.4317072097588436,0.4266927000044477,2,0,0.5327723842346281,max,S2A_MSIL2A_20230307T065731_R063_T39QXG_20230307T123902_0000.jpg,0.4317072097588436,0,S2A_MSIL2A_20230307T065731_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20230312T065709_R063_T39QXG,0.4291499130083676,0.4291499130083676,0.4194998619171616,2,0,0.5327723842346281,max,S2B_MSIL2A_20230312T065709_R063_T39QXG_20230312T141426_0000.jpg,0.4291499130083676,0,S2B_MSIL2A_20230312T065709_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20220307T065729_R063_T39QXG,0.4119228981226669,0.4119228981226669,0.4059296525280282,2,0,0.5327723842346281,max,S2B_MSIL2A_20220307T065729_R063_T39QXG_20220307T200029_0000.jpg,0.4119228981226669,0,S2B_MSIL2A_20220307T065729_R063_T39QXG,23.9091969475,52.5238193975
S2A_MSIL2A_20230225T065851_R063_T39QXG,0.4072098184643337,0.4072098184643337,0.4072098184643337,1,0,0.5327723842346281,max,S2A_MSIL2A_20230225T065851_R063_T39QXG_20230227T033301_0000.jpg,0.4072098184643337,0,S2A_MSIL2A_20230225T065851_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20220312T065701_R063_T39QXG,0.3946555779891419,0.3946555779891419,0.3880932971006235,2,0,0.5327723842346281,max,S2A_MSIL2A_20220312T065701_R063_T39QXG_20240523T070747_0000.jpg,0.3946555779891419,0,S2A_MSIL2A_20220312T065701_R063_T39QXG,23.9091969475,52.5238193975
S2A_MSIL2A_20220918T065631_R063_T39QXG,0.3926301481609915,0.3926301481609915,0.3888753351141801,2,0,0.5327723842346281,max,S2A_MSIL2A_20220918T065631_R063_T39QXG_20240729T142658_0000.jpg,0.3926301481609915,0,S2A_MSIL2A_20220918T065631_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20220824T065619_R063_T39QXG,0.3872880890407136,0.3872880890407136,0.3872880890407136,1,0,0.5327723842346281,max,S2B_MSIL2A_20220824T065619_R063_T39QXG_20220825T015302_0000.jpg,0.3872880890407136,0,S2B_MSIL2A_20220824T065619_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20240220T065921_R063_T39QXG,0.3846368270461888,0.3846368270461888,0.3846368270461888,1,0,0.5327723842346281,max,S2A_MSIL2A_20240220T065921_R063_T39QXG_20240220T112915_0000.jpg,0.3846368270461888,0,S2A_MSIL2A_20240220T065921_R063_T39QXG,23.909196945,52.523819395
S2B_MSIL2A_20240704T065629_R063_T39QXG,0.383725679555343,0.383725679555343,0.383725679555343,1,0,0.5327723842346281,max,S2B_MSIL2A_20240704T065629_R063_T39QXG_20240705T224349_0000.jpg,0.383725679555343,0,S2B_MSIL2A_20240704T065629_R063_T39QXG,23.90919695,52.5238194
S2B_MSIL2A_20230829T065629_R063_T39QXG,0.3833542928215263,0.3833542928215263,0.3797254829353839,2,0,0.5327723842346281,max,S2B_MSIL2A_20230829T065629_R063_T39QXG_20230829T131134_0000.jpg,0.3833542928215263,0,S2B_MSIL2A_20230829T065629_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20230918T065629_R063_T39QXG,0.3809359116378268,0.3809359116378268,0.3778109843207233,2,0,0.5327723842346281,max,S2B_MSIL2A_20230918T065629_R063_T39QXG_20241025T081232_0000.jpg,0.3809359116378268,0,S2B_MSIL2A_20230918T065629_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20220317T065619_R063_T39QXG,0.3776109615487976,0.3776109615487976,0.3589514440992088,2,0,0.5327723842346281,max,S2B_MSIL2A_20220317T065619_R063_T39QXG_20240523T103231_0000.jpg,0.3776109615487976,0,S2B_MSIL2A_20220317T065619_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20220903T065629_R063_T39QXG,0.3650787319600506,0.3650787319600506,0.3650787319600506,1,0,0.5327723842346281,max,S2B_MSIL2A_20220903T065629_R063_T39QXG_20220903T175254_0000.jpg,0.3650787319600506,0,S2B_MSIL2A_20220903T065629_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20240719T065621_R063_T39QXG,0.3524308938289706,0.3524308938289706,0.3524308938289706,1,0,0.5327723842346281,max,S2A_MSIL2A_20240719T065621_R063_T39QXG_20240719T132007_0000.jpg,0.3524308938289706,0,S2A_MSIL2A_20240719T065621_R063_T39QXG,23.90919695,52.5238194
S2B_MSIL2A_20240912T065619_R063_T39QXG,0.3436603893711135,0.3436603893711135,0.3436603893711135,1,0,0.5327723842346281,max,S2B_MSIL2A_20240912T065619_R063_T39QXG_20240912T130211_0000.jpg,0.3436603893711135,0,S2B_MSIL2A_20240912T065619_R063_T39QXG,23.90919695,52.5238194
S2A_MSIL2A_20220908T065631_R063_T39QXG,0.3338429015984815,0.3338429015984815,0.3338429015984815,1,0,0.5327723842346281,max,S2A_MSIL2A_20220908T065631_R063_T39QXG_20220911T052036_0000.jpg,0.3338429015984815,0,S2A_MSIL2A_20220908T065631_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20240907T065621_R063_T39QXG,0.3214111406837653,0.3214111406837653,0.3214111406837653,1,0,0.5327723842346281,max,S2A_MSIL2A_20240907T065621_R063_T39QXG_20240907T115459_0000.jpg,0.3214111406837653,0,S2A_MSIL2A_20240907T065621_R063_T39QXG,23.90919695,52.5238194
S2A_MSIL2A_20230317T065621_R063_T39QXG,0.3210931680042495,0.3210931680042495,0.3210931680042495,1,0,0.5327723842346281,max,S2A_MSIL2A_20230317T065621_R063_T39QXG_20230317T125717_0000.jpg,0.3210931680042495,0,S2A_MSIL2A_20230317T065621_R063_T39QXG,23.909196945,52.523819395
S2B_MSIL2A_20230210T070029_R063_T39QXG,0.3126622433433594,0.3126622433433594,0.3045278514496313,2,0,0.5327723842346281,max,S2B_MSIL2A_20230210T070029_R063_T39QXG_20230210T205643_0000.jpg,0.3126622433433594,0,S2B_MSIL2A_20230210T070029_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20220913T065629_R063_T39QXG,0.3092067010679727,0.3092067010679727,0.3070127164725545,2,0,0.5327723842346281,max,S2B_MSIL2A_20220913T065629_R063_T39QXG_20240726T171436_0000.jpg,0.3092067010679727,0,S2B_MSIL2A_20220913T065629_R063_T39QXG,23.9091969475,52.5238193975
