fold,auprc,auroc,test_pos,test_total
1,0.4375948171725081,0.749909354604786,98,492
2,0.46056663361651096,0.7004830429685921,143,489
3,0.5206454597758496,0.7260676328502416,150,495
4,0.45693273680477414,0.7559343434343434,132,492
5,0.5324012281614742,0.7824677368586718,135,488
mean,0.48162817510622336,0.742972422143327,658,2456
