model,acc,prec,rec,f1,auroc
FRCNN_MB,0.4805,0.4302,0.486,0.4564,0.477
FRCNN_R50,0.4775,0.4265,0.4762,0.45,0.4693
FRCNN_SSD,0.4945,0.4436,0.4975,0.469,0.4732
FUSION_DET_ONLY,0.5259,0.5517,0.5246,0.5378,0.5395
FUSION_DET_ONLY_TRAIN,0.5581,0.5116,0.5641,0.5366,0.6154
FUSION_DET+TAB,0.5446,0.5714,0.5424,0.5565,0.5472
FUSION_DET+TAB_TRAIN,0.6824,0.6279,0.7105,0.6667,0.6725
DELTA_TAB_vs_DET,0.0188,0.0197,0.0178,0.0187,0.0077
